,0
131206,1
131273,1
131403,1
131465,1
131652,1
131653,1
131660,1
131712,3
131713,1
131770,1
131772,2
131839,1
131902,1
132025,1
132027,1
132087,1
132089,1
132113,2
132127,1
132142,1
132143,1
132144,2
132402,1
132463,1
132525,2
132538,1
132541,1
132648,1
132650,1
132710,1
132731,1
132734,16
132742,1
132744,16
132803,1
132804,2
132867,1
1335,1
5518,49
8908,1
18524,1
55690,1
79050,1
99749,2
99751,1
99752,2
99773,1
99774,6
99806,2
99811,5
99814,1
99816,14
100114,1
100117,18
100522,12
100525,1
100551,1
102273,6
107345,1
107348,1
107384,1
107385,1
107404,2
107405,1
107445,1
107462,1
107463,1
107465,3
107467,1
107470,1
107478,1
107481,1
107494,2
107496,1
107497,1
107499,1
107509,1
107512,1
107536,1
107548,1
107554,2
107555,1
107615,1
107678,1
107679,1
107680,1
107734,1
107738,1
107739,3
107792,1
107796,3
107797,2
107805,1
107843,1
107853,3
107862,1
107869,1
107874,1
107882,1
107889,1
107890,1
107893,1
107901,1
107904,6
107966,1
107968,1
107984,2
108024,1
108028,1
108082,1
108084,1
108085,2
108086,1
108143,1
108144,1
108146,1
108201,1
108206,4
108266,4
108280,1
108281,1
108284,1
108290,1
108291,2
108298,1
108316,1
108317,1
108318,1
108381,2
108382,1
108433,1
108441,1
108443,1
108499,1
108501,1
108503,2
108533,1
108541,1
108555,2
108558,2
108560,1
108578,1
108583,1
108585,1
108611,1
108612,1
108615,1
108616,2
108675,3
108676,1
108693,1
108730,1
108731,1
108733,4
108790,1
108795,1
108854,3
108855,1
108912,2
108913,1
108915,1
108974,2
108976,1
109035,2
109036,2
109096,4
109107,1
109157,2
109213,1
109215,1
109217,1
109275,1
109279,2
109337,3
109338,1
109464,3
109520,1
109521,2
109524,1
109537,1
109584,1
109645,1
109647,2
109701,2
109706,3
109765,1
109829,2
109843,1
109848,1
109890,1
109891,1
109950,5
109971,1
109977,1
109982,1
109983,1
110001,1
110004,2
110022,3
110062,1
110066,1
110127,1
110190,1
110191,1
110248,1
110253,1
110313,2
110376,1
110434,1
110436,1
110439,1
110501,1
110629,1
110692,1
110755,1
110816,2
110831,1
110875,1
110941,2
111321,1
111334,1
111339,1
111381,2
111382,1
111508,1
111633,1
111700,1
111701,1
111759,2
111824,1
111945,1
111950,1
112077,1
112136,1
112137,1
112284,1
112516,1
112600,1
112647,1
113037,1
113056,1
113532,1
113536,1
113538,1
113726,1
113981,1
113983,1
114044,1
114365,1
114875,2
114935,1
114937,1
114998,1
115063,1
115079,2
115118,1
115247,1
115259,1
115311,1
115312,1
115373,2
115627,1
115628,1
115687,1
115688,2
115689,1
115697,1
115698,1
115703,1
115704,1
115743,1
115744,1
115809,1
116064,1
116122,1
116128,1
116188,2
116251,1
116373,1
116377,1
116439,2
116566,1
116884,1
117055,1
117156,2
117584,1
117968,1
118156,1
118215,8
118270,9
118333,1
118394,1
118651,1
118900,7
119091,1
119342,1
119405,1
119535,1
119725,1
119854,1
119933,3
120168,1
120357,1
120487,1
120871,1
120999,1
121060,1
121571,1
122019,1
122674,2
123869,1
124896,1
124956,1
125021,1
125070,15
125150,1
125323,1
125332,1
125336,1
125338,1
125349,1
